,x,y,z
0,0,0,0
1,4,0,0
2,8,0,0
3,12,0,0
4,16,0,0
5,20,0,0
6,24,0,0
7,28,0,0
8,32,0,197.5
9,36,0,0
10,40,0,0
11,44,0,0
12,48,0,0
13,52,0,0
14,56,0,0
15,60,0,0
16,64,0,0
17,68,0,0
18,72,0,0
19,76,0,222.5
20,80,0,0
21,84,0,0
22,88,0,0
23,92,0,0
24,96,0,0
25,100,0,0
26,104,0,0
27,108,0,0
28,112,0,0
29,116,0,0
30,120,0,0
31,124,0,210.0
32,128,0,0
33,132,0,0
34,136,0,0
35,140,0,0
36,144,0,0
37,148,0,0
38,152,0,0
39,156,0,0
40,160,0,0
41,164,0,0
42,168,0,0
43,172,0,0
44,176,0,0
45,180,0,0
46,184,0,0
47,188,0,0
48,192,0,0
49,196,0,0
50,200,0,0
51,204,0,0
52,208,0,0
53,212,0,0
54,216,0,0
55,220,0,0
56,224,0,0
57,228,0,0
58,232,0,0
59,236,0,0
60,240,0,0
61,244,0,0
62,248,0,0
63,252,0,0
64,256,0,0
65,260,0,0
66,264,0,0
67,268,0,0
68,272,0,0
69,276,0,0
70,280,0,0
71,284,0,0
72,288,0,0
73,292,0,0
74,296,0,0
75,300,0,0
76,304,0,0
77,308,0,0
78,312,0,0
79,316,0,0
80,320,0,0
81,324,0,0
82,328,0,0
83,332,0,0
84,336,0,0
85,340,0,0
86,344,0,0
87,348,0,0
88,352,0,0
89,356,0,0
90,360,0,0
91,364,0,0
92,368,0,0
93,372,0,0
94,376,0,0
95,380,0,0
96,384,0,0
97,388,0,0
98,392,0,0
99,396,0,0
100,0,4,0
101,4,4,0
102,8,4,0
103,12,4,0
104,16,4,0
105,20,4,0
106,24,4,0
107,28,4,0
108,32,4,0
109,36,4,0
110,40,4,0
111,44,4,0
112,48,4,0
113,52,4,0
114,56,4,0
115,60,4,0
116,64,4,0
117,68,4,0
118,72,4,0
119,76,4,0
120,80,4,0
121,84,4,0
122,88,4,0
123,92,4,0
124,96,4,0
125,100,4,0
126,104,4,0
127,108,4,0
128,112,4,0
129,116,4,0
130,120,4,0
131,124,4,0
132,128,4,0
133,132,4,0
134,136,4,0
135,140,4,0
136,144,4,0
137,148,4,0
138,152,4,0
139,156,4,0
140,160,4,0
141,164,4,0
142,168,4,0
143,172,4,0
144,176,4,0
145,180,4,0
146,184,4,0
147,188,4,0
148,192,4,0
149,196,4,0
150,200,4,0
151,204,4,0
152,208,4,0
153,212,4,0
154,216,4,0
155,220,4,0
156,224,4,0
157,228,4,0
158,232,4,0
159,236,4,0
160,240,4,0
161,244,4,0
162,248,4,0
163,252,4,0
164,256,4,0
165,260,4,0
166,264,4,0
167,268,4,0
168,272,4,0
169,276,4,0
170,280,4,0
171,284,4,0
172,288,4,0
173,292,4,0
174,296,4,0
175,300,4,0
176,304,4,0
177,308,4,0
178,312,4,0
179,316,4,0
180,320,4,0
181,324,4,0
182,328,4,0
183,332,4,0
184,336,4,0
185,340,4,0
186,344,4,0
187,348,4,0
188,352,4,0
189,356,4,0
190,360,4,0
191,364,4,0
192,368,4,0
193,372,4,0
194,376,4,0
195,380,4,0
196,384,4,0
197,388,4,0
198,392,4,0
199,396,4,0
200,0,8,0
201,4,8,0
202,8,8,0
203,12,8,0
204,16,8,0
205,20,8,222.5
206,24,8,0
207,28,8,0
208,32,8,0
209,36,8,0
210,40,8,0
211,44,8,0
212,48,8,0
213,52,8,0
214,56,8,0
215,60,8,0
216,64,8,0
217,68,8,222.5
218,72,8,0
219,76,8,0
220,80,8,0
221,84,8,0
222,88,8,0
223,92,8,0
224,96,8,0
225,100,8,0
226,104,8,0
227,108,8,0
228,112,8,210.0
229,116,8,0
230,120,8,0
231,124,8,0
232,128,8,0
233,132,8,0
234,136,8,0
235,140,8,0
236,144,8,0
237,148,8,0
238,152,8,0
239,156,8,0
240,160,8,210.0
241,164,8,0
242,168,8,0
243,172,8,0
244,176,8,0
245,180,8,0
246,184,8,0
247,188,8,0
248,192,8,0
249,196,8,0
250,200,8,0
251,204,8,0
252,208,8,0
253,212,8,0
254,216,8,0
255,220,8,0
256,224,8,0
257,228,8,0
258,232,8,0
259,236,8,0
260,240,8,0
261,244,8,0
262,248,8,0
263,252,8,0
264,256,8,0
265,260,8,0
266,264,8,0
267,268,8,0
268,272,8,0
269,276,8,0
270,280,8,0
271,284,8,0
272,288,8,0
273,292,8,0
274,296,8,0
275,300,8,0
276,304,8,0
277,308,8,0
278,312,8,0
279,316,8,0
280,320,8,0
281,324,8,0
282,328,8,0
283,332,8,0
284,336,8,0
285,340,8,0
286,344,8,0
287,348,8,0
288,352,8,0
289,356,8,0
290,360,8,0
291,364,8,0
292,368,8,0
293,372,8,0
294,376,8,0
295,380,8,0
296,384,8,0
297,388,8,0
298,392,8,0
299,396,8,0
300,0,12,0
301,4,12,0
302,8,12,0
303,12,12,0
304,16,12,210.0
305,20,12,0
306,24,12,0
307,28,12,0
308,32,12,0
309,36,12,0
310,40,12,0
311,44,12,0
312,48,12,0
313,52,12,0
314,56,12,0
315,60,12,430.0
316,64,12,0
317,68,12,0
318,72,12,0
319,76,12,0
320,80,12,0
321,84,12,0
322,88,12,0
323,92,12,0
324,96,12,0
325,100,12,0
326,104,12,0
327,108,12,210.0
328,112,12,0
329,116,12,0
330,120,12,0
331,124,12,0
332,128,12,0
333,132,12,0
334,136,12,0
335,140,12,0
336,144,12,0
337,148,12,0
338,152,12,0
339,156,12,0
340,160,12,0
341,164,12,0
342,168,12,0
343,172,12,0
344,176,12,0
345,180,12,0
346,184,12,0
347,188,12,0
348,192,12,0
349,196,12,0
350,200,12,0
351,204,12,0
352,208,12,0
353,212,12,0
354,216,12,0
355,220,12,0
356,224,12,0
357,228,12,0
358,232,12,0
359,236,12,0
360,240,12,0
361,244,12,0
362,248,12,0
363,252,12,222.5
364,256,12,0
365,260,12,0
366,264,12,0
367,268,12,0
368,272,12,0
369,276,12,0
370,280,12,0
371,284,12,0
372,288,12,0
373,292,12,0
374,296,12,0
375,300,12,222.5
376,304,12,0
377,308,12,0
378,312,12,0
379,316,12,0
380,320,12,0
381,324,12,0
382,328,12,0
383,332,12,0
384,336,12,0
385,340,12,0
386,344,12,0
387,348,12,0
388,352,12,0
389,356,12,0
390,360,12,0
391,364,12,0
392,368,12,0
393,372,12,0
394,376,12,0
395,380,12,0
396,384,12,0
397,388,12,0
398,392,12,0
399,396,12,0
400,0,16,0
401,4,16,210.0
402,8,16,0
403,12,16,0
404,16,16,0
405,20,16,0
406,24,16,0
407,28,16,0
408,32,16,0
409,36,16,0
410,40,16,0
411,44,16,0
412,48,16,0
413,52,16,210.0
414,56,16,0
415,60,16,0
416,64,16,0
417,68,16,0
418,72,16,0
419,76,16,0
420,80,16,0
421,84,16,0
422,88,16,0
423,92,16,0
424,96,16,430.0
425,100,16,0
426,104,16,0
427,108,16,0
428,112,16,0
429,116,16,0
430,120,16,0
431,124,16,0
432,128,16,0
433,132,16,0
434,136,16,0
435,140,16,0
436,144,16,0
437,148,16,0
438,152,16,0
439,156,16,0
440,160,16,0
441,164,16,0
442,168,16,0
443,172,16,0
444,176,16,0
445,180,16,0
446,184,16,0
447,188,16,0
448,192,16,0
449,196,16,0
450,200,16,0
451,204,16,0
452,208,16,0
453,212,16,0
454,216,16,0
455,220,16,0
456,224,16,0
457,228,16,0
458,232,16,0
459,236,16,0
460,240,16,0
461,244,16,222.5
462,248,16,0
463,252,16,0
464,256,16,0
465,260,16,0
466,264,16,0
467,268,16,0
468,272,16,0
469,276,16,0
470,280,16,0
471,284,16,0
472,288,16,0
473,292,16,0
474,296,16,0
475,300,16,0
476,304,16,0
477,308,16,0
478,312,16,0
479,316,16,0
480,320,16,0
481,324,16,0
482,328,16,0
483,332,16,0
484,336,16,0
485,340,16,0
486,344,16,0
487,348,16,0
488,352,16,0
489,356,16,0
490,360,16,0
491,364,16,0
492,368,16,0
493,372,16,0
494,376,16,0
495,380,16,0
496,384,16,0
497,388,16,0
498,392,16,0
499,396,16,0
500,0,20,0
501,4,20,0
502,8,20,0
503,12,20,0
504,16,20,0
505,20,20,0
506,24,20,0
507,28,20,0
508,32,20,0
509,36,20,0
510,40,20,0
511,44,20,0
512,48,20,0
513,52,20,0
514,56,20,0
515,60,20,0
516,64,20,0
517,68,20,0
518,72,20,0
519,76,20,0
520,80,20,0
521,84,20,0
522,88,20,0
523,92,20,0
524,96,20,0
525,100,20,0
526,104,20,0
527,108,20,0
528,112,20,0
529,116,20,0
530,120,20,0
531,124,20,0
532,128,20,0
533,132,20,0
534,136,20,0
535,140,20,0
536,144,20,210.0
537,148,20,0
538,152,20,0
539,156,20,0
540,160,20,0
541,164,20,0
542,168,20,0
543,172,20,0
544,176,20,0
545,180,20,0
546,184,20,0
547,188,20,222.5
548,192,20,0
549,196,20,0
550,200,20,0
551,204,20,0
552,208,20,0
553,212,20,0
554,216,20,0
555,220,20,0
556,224,20,0
557,228,20,0
558,232,20,0
559,236,20,0
560,240,20,0
561,244,20,0
562,248,20,0
563,252,20,0
564,256,20,0
565,260,20,0
566,264,20,0
567,268,20,0
568,272,20,0
569,276,20,0
570,280,20,0
